routine;undefined;condition;routine_tims_ms
Write data;-;default;21.46
Write data;-;default;30.5327
Write data;-;default;42.6035
Write data;-;default;52.4897
Write data;-;default;63.8643
Write data;-;default;74.8153
Write data;-;default;85.836
Write data;-;default;97.1794
Write data;-;default;108.3389
Write data;-;default;119.417
Write data;-;default;132.3441
Write data;-;default;142.3095
Write data;-;default;152.9925
Write data;-;default;163.9059
Write data;-;default;174.9486
Write data;-;default;185.9447
Write data;-;default;196.8702
Write data;-;default;208.331
Write data;-;default;219.3143
Write data;-;default;230.1881
Write data;-;default;242.8102
Write data;-;default;252.9251
Write data;-;default;264.2733
Write data;-;default;274.9328
Write data;-;default;286.1603
Write data;-;default;297.042
Write data;-;default;307.9986
Write data;-;default;319.5167
Write data;-;default;330.5822
Write data;-;default;342.992
Write data;-;default;352.9991
Write data;-;default;363.8604
Write data;-;default;375.0388
Write data;-;default;386.2205
Write data;-;default;397.232
Write data;-;default;408.2664
Write data;-;default;419.433
Write data;-;default;430.4928
Write data;-;default;442.9503
Write data;-;default;452.8876
Write data;-;default;464.0015
Write data;-;default;474.9962
Write data;-;default;486.1525
Write data;-;default;497.2613
Write data;-;default;508.2965
Write data;-;default;519.4585
Write data;-;default;530.3841
Write data;-;default;543.669
Write data;-;default;552.7926
Write data;-;default;563.8187
Write data;-;default;574.9134
Write data;-;default;586.1417
Write data;-;default;597.0835
Write data;-;default;608.2856
Write data;-;default;619.6978
Write data;-;default;630.1794
Write data;-;default;642.5824
Write data;-;default;652.4963
Write data;-;default;664.1414
Write data;-;default;675.1714
Write data;-;default;686.2803
Write data;-;default;697.08
Write data;-;default;708.5496
Write data;-;default;719.4194
Write data;-;default;730.344
Write data;-;default;741.2144
Write data;-;default;752.764
Write data;-;default;763.6939
Write data;-;default;774.7001
Write data;-;default;786.2509
Write data;-;default;797.2571
Write data;-;default;808.1793
Write data;-;default;819.1803
Write data;-;default;830.5011
Write data;-;default;841.3994
Write data;-;default;853.0565
Write data;-;default;863.8638
Write data;-;default;874.9401
Write data;-;default;886.1162
Write data;-;default;897.3018
Write data;-;default;908.1979
Write data;-;default;919.1439
Write data;-;default;930.5607
Write data;-;default;941.4258
Write data;-;default;953.3106
Write data;-;default;964.0561
Write data;-;default;975.1703
Write data;-;default;985.9665
Write data;-;default;997.2318
Write data;-;default;1008.321
Write data;-;default;1019.318
Write data;-;default;1030.241
Write data;-;default;1041.415
Write data;-;default;1053.009
Write data;-;default;1063.64
Write data;-;default;1074.53
Write data;-;default;1086.164
Write data;-;default;1097.202
Write data;-;default;1108.392
Write data;-;default;1119.464
Write data;-;default;1130.417
Write data;-;default;1143.015
Write data;-;default;1154.043
Write data;-;default;1163.853
Write data;-;default;1174.953
Write data;-;default;1186.178
Write data;-;default;1202.905
Write data;-;default;1212.591
Write data;-;default;1222.613
Write data;-;default;1233.241
Write data;-;default;1243.128
Write data;-;default;1252.865
Write data;-;default;1264.108
Write data;-;default;1275.228
Write data;-;default;1286.212
Write data;-;default;1297.006
Write data;-;default;1308.431
Write data;-;default;1319.504
Write data;-;default;1330.426
Write data;-;default;1342.664
